SurfaceLongitude,SurfaceLatitude,BottomHoleLongitude,BottomHoleLatitude,Operator,CompletionDate,Reservoir,LateralLength_FT,ProppantIntensity_LBSPerFT,FluidIntensity_BBLPerFT,HzDistanceToNearestOffsetAtDrill,HzDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetAtDrill,WellDepth,ReservoirThickness,OilInPlace,Porosity,ReservoirPressure,WaterSaturation,StructureDerivative,TotalOrganicCarbon,ClayVolume,CarbonateVolume,Maturity,TotalWellCost_USDMM,CumOil12Month,rowID,CumOil_Category
-102.2344835,32.30190089,-102.2343004,32.30220989,HIBERNIA,11/15/2016,WOLFCAMP B,7726.0,1913.0,47.0,1348.732,1018.14,53.436,68.858,6162.125,504.029,20258.69,0.061,3964.2919,0.566,0.007,33.3206,0.184,0.289,0.883,5.9141,125745.0,103,Low
-101.9608797,32.01793772,-101.9608627,32.01793034,CVX,6/22/2018,WOLFCAMP B,8301.0,1612.0,56.0,879.306,879.306,85.547,85.547,6884.261,152.832,9902.94,0.044,3917.6449,0.46,0.011,2.6403,0.163,0.27,0.898,4.537,233796.5469,4274,Medium
-101.4482619,33.25182037,-101.4486804,33.25182051,COP,9/11/2016,WOLFCAMP B,9498.0,2227.0,59.0,1073.335,865.382,31.919,11.678,6743.913,314.561,8898.248,0.037,3762.5416,0.457,0.018,1.7486,0.137,0.41,0.955,6.1926,230794.5156,5780,Medium
-102.1036355,32.88078602,-102.1036355,32.88078602,PXD,10/10/2018,SPRABERRY LOWER SHALE,10022.0,3489.0,56.0,760.028,760.028,3.86,3.86,6557.905,,29864.256,0.055,3396.8847,0.323,0.01,2.8596,0.229,0.115,0.911,9.6639,277086.625,5515,High
-102.043979,31.52597732,-102.0437452,31.5257888,PXD,11/4/2019,WOLFCAMP A,9722.0,1712.0,47.0,,,,,6525.105,,,0.066,,,0.009,,0.192,0.249,0.974,6.5049,264914.1875,2478,High
-102.2967907,32.37477902,-102.2967066,32.37459954,PXD,10/9/2015,WOLFCAMP A,10028.0,1910.0,74.0,2000.0,2000.0,500.0,500.0,5870.929,,27766.275,0.058,3337.5686,0.544,0.004,2.969,0.19,0.271,0.788,7.4612,260355.0,5215,High
-101.0166827,30.79705045,-101.0189258,30.79732777,XOM,4/21/2017,WOLFCAMP A,10203.0,1710.0,57.0,1099.099,687.561,237.068,0.841,6179.651,,13561.941,0.052,3600.8718,0.466,0.015,2.5318,0.196,0.279,0.872,5.9944,148647.4688,2873,Low
-101.7454829,30.80909229,-101.7454473,30.80909501,SM,10/17/2016,WOLFCAMP A,9660.0,1945.0,50.0,2000.0,566.549,75.615,500.0,5828.495,,16586.201,0.054,3510.0331,0.475,0.024,2.6151,0.174,0.292,0.78,5.464,362756.0,246,High
-100.7441897,31.19270419,-100.7447227,31.19277387,OXY,1/30/2014,WOLFCAMP B,5644.0,899.0,22.0,2000.0,2000.0,500.0,500.0,6678.707,109.242,4024.231,0.02,3642.252,0.472,0.008,1.756,0.109,0.477,0.946,3.5308,53367.3711,1140,Low
-101.3021894,32.55591747,-101.3020952,32.5558114,TRACKER,6/14/2018,WOLFCAMP B,10279.0,2608.0,60.0,1103.784,1103.784,256.026,256.026,4324.672,562.2,11498.079,0.066,2595.1872,0.802,0.01,2.3449,0.199,0.291,0.793,8.3093,155150.4844,156,Low
